"The 12-month change in average weekly earnings"
,"The 12-month change in average weekly earnings 0.00"
"January 2008",3.1257665939344
"February 2008",4.23455719628829
"March 2008",2.94174098859901
"April 2008",3.61402610698747
"May 2008",2.83119658119656
"June 2008",2.2596585236392
"July 2008",2.34217171717171
"August 2008",2.88865812268884
"September 2008",2.79498794937476
"October 2008",3.05632862773741
"November 2008",2.37797559511903
"December 2008",1.88202633586356
"January 2009",2.31739990485013
"February 2009",1.87730472678511
"March 2009",1.98508390304536
"April 2009",1.04614396521912
"May 2009",1.19727891156462
"June 2009",1.42248038064636
"July 2009",1.62235519091976
"August 2009",1.43393439596282
"September 2009",1.66822154571345
"October 2009",1.04477247177282
"November 2009",1.20167061524559
"December 2009",2.41187156323646
"January 2010",2.28816151728357
"February 2010",2.55200906731017
"March 2010",2.54975806549905
"April 2010",3.30762366918873
"May 2010",3.58967464372143
"June 2010",3.5325
"July 2010",3.56
"August 2010",4.46062371071472
"September 2010",4.33454475206162
